tokenId,amount
76804,15000
16382,5000
9855,2855
84940,2600
23567,2000
9787,1989
26867,1500
19641,1500
23241,1500
93538,1327.7902
64220,1200
36794,1100
62585,1029
32459,1012
12268,1000
17922,1000
62941,1000
7,1000
9253,1000
9254,1000
9762,1000
9896,1000
13756,999
53215,999
77364,999
75347,900
1998,899
9786,899
11842,888
93616,850
5311,800
55151,800
71127,800
9906,799
83771,799
21566,758.61
54804,750
81472,750
94757,750
9897,750
9898,750
16068,750
45781,750
90231,700
998,700
9592,699.4200000000001
12430,699
9907,668
63648,650
64222,634.86
55522,600
69914,600
73140,600
74419,600
86161,600
67187,600
91751,599
28690,593
72580,560
94996,555.55
28949,550
9482,550
73433,529
4097,526
72190,508
1017,500
11050,500
11628,500
14636,500
15689,500
18302,500
19339,500
22777,500
25149,500
2737,500
30206,500
31702,500
37190,500
42290,500
42763,500
46738,500
47880,500
52001,500
53160,500
54906,500
5877,500
59047,500
63645,500
66509,500
66870,500
66977,500
67782,500
71284,500
71830,500
765,500
82970,500
86161,500
87304,500
8820,500
9141,500
